epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,5577.13,0.88465,0.8355,1.19163,0.84848,0.80412,0.85949,0.66874,0.87283,0.75651,1.19873,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,5703.81,0.88104,0.82817,1.18319,0.86359,0.80539,0.86044,0.66954,0.87496,0.74775,1.21659,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,5830.02,0.87527,0.81632,1.17955,0.86192,0.80597,0.86069,0.67607,0.86311,0.75544,1.19247,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,5957.08,0.87646,0.81693,1.18115,0.87061,0.80603,0.86397,0.67319,0.8747,0.7362,1.20573,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,6084.75,0.87545,0.82509,1.18227,0.85916,0.81662,0.86757,0.67274,0.88136,0.72059,1.21896,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,6213.7,0.87671,0.81052,1.183,0.85719,0.81646,0.86357,0.67098,0.87321,0.71812,1.20892,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,6347.82,0.86498,0.8028,1.1763,0.87116,0.81217,0.86814,0.67588,0.86666,0.70624,1.19849,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,6475.55,0.86396,0.79771,1.16768,0.88461,0.80427,0.87163,0.687,0.84114,0.70841,1.17775,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,6602.82,0.85666,0.78834,1.16867,0.88052,0.81324,0.87391,0.68388,0.85164,0.70657,1.19022,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,6730,0.86015,0.78465,1.16678,0.85938,0.80125,0.85949,0.66926,0.85573,0.72768,1.18674,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
